n,n_patent,link1,date,title,link2,publication,authors,main_lab
30.0,2765830(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2765830&TypeFile=html,26.04.2021,"СПОСОБ ИЗМЕНЕНИЯ КОНЕЧНОЙ ЭНЕРГИИ ПРОТОННОГО ПУЧКА, ИСПОЛЬЗУЕМОГО ДЛЯ ФЛЗШ-ТЕРАПИИ",https://www.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/770/864/%D0%98%D0%97-02770864-00001/document.pdf,03.02.2022 БИМП №12,"Доля С.Н., Смирнов В.И.",Лаборатория ядерных проблем им. В.П. Джелепова
31.0,2761376(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2761376&TypeFile=html,05.03.2021,УСТРОЙСТВО МОДЕЛИРОВАНИЯ НА ПУЧКАХ ТЯЖЕЛЫХ ИОНОВ ВЫСОКОЙ ЭНЕРГИИ ПОЛЕЙ СМЕШАННОГО ИЗЛУЧЕНИЯ ДЛЯ ЦЕЛЕЙ ЭКСПЕРИМЕНТАЛЬНОЙ РАДИОЛОГИИ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/761/376/%D0%98%D0%97-02761376-00001/document.pdf,07.12.2021 БИПМ №34,"Тимошенко Г.Н., Гордеев И.С.",Лаборатория ядерных реакций им. Г.Н. Флерова
32.0,2761053(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2761053&TypeFile=html,11.03.2021,СПОСОБ ИЗМЕРЕНИЯ ВЕРОЯТНОСТИ ПОГЛОЩЕНИЯ НЕЙТРОНОВ ПРИ ИХ ПОДБАРЬЕРНОМ ОТРАЖЕНИИ ОТ ПОВЕРХНОСТИ И СТРУКТУРА ДЛЯ ЕГО ОСУЩЕСТВЛЕНИЯ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/761/053/%D0%98%D0%97-02761053-00001/document.pdf,02.12.2021 БИПМ №34,Никитенко Ю.В.,Лаборатория нейтронной физики им. И.М. Франка
33.0,2760979(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2760979&TypeFile=html,26.04.2021,УСТРОЙСТВО ДЛЯ ФОРМИРОВАНИЯ ПИЛООБРАЗНОГО НАПРЯЖЕНИЯ НА КОНДЕНСАТОРЕ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/760/979/%D0%98%D0%97-02760979-00001/document.pdf,02.12.2021 БИПМ №34,"Доля С.Н., Смирнов В.И.",Лаборатория ядерных проблем им. В.П. Джелепова
34.0,2758712(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2758712&TypeFile=html,08.02.2021,КАРКАС ДЛЯ СВЕРХПРОВОДЯЩЕГО СОЛЕНОИДА,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/758/712/%D0%98%D0%97-02758712-00001/document.pdf,01.11.2021 БИПМ №31,"Новиков М.С., Ходжибагиян Г.Г., Заславский М.Е.",Лаборатория физики высоких энергий им. В.И. Векслера и А.М. Балдина
35.0,2751458(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2751458&TypeFile=html,06.11.2020,СПОСОБ ИЗМЕРЕНИЯ ИНТЕНСИВНОСТИ РАДИАЦИОННОГО ИЗЛУЧЕНИЯ НЕИЗВЕСТНОГО СОСТАВА,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/751/458/%D0%98%D0%97-02751458-00001/document.pdf,14.07.2021 БИПМ №20,"Шелков Г.А., Расторгуев Д.Д., Рожков В.А., Черепанова Е.А.",Лаборатория ядерных проблем им. В.П. Джелепова
36.0,2748153(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2748153&TypeFile=html,20.07.2020,СЦИНТИЛЛЯЦИОННЫЙ ДЕТЕКТОР,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/748/153/%D0%98%D0%97-02748153-00001/document.pdf,19.05.2021 БИПМ №14,"Афанасьев С.В., Бояринцев А.Ю., Голунов А.О., Голутвин И.А., Горбунов Н.В., Гринев Б.В., Ершов Ю.В., Малахов А.И., Смирнов В.А., Сухов Е.В., Устинов В.В.",Лаборатория ядерных проблем им. В.П. Джелепова
37.0,2747047(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2747047&TypeFile=html,19.08.2020,ЛАЗЕРНЫЙ ИНКЛИНОМЕТР,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/747/047/%D0%98%D0%97-02747047-00001/document.pdf,23.04.2021 БИПМ №12,"Будагов Ю.А., Ляблин М.В.",Лаборатория ядерных проблем им. В.П. Джелепова
38.0,2745587(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2745587&TypeFile=html,20.07.2020,МЕХАНИЧЕСКИЙ ФИЛЬТР НЕЙТРОННОГО ПУЧКА С ВРЕМЕННОЙ ФОКУСИРОВКОЙ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/745/587/%D0%98%D0%97-02745587-00001/document.pdf,29.03.2021 БИПМ №10,"Садилов В.В., Боднарчук В.И.",Лаборатория нейтронной физики им. И.М. Франка
39.0,2745384(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2745384&TypeFile=html,20.07.2020,СПОСОБ АНАЛИЗА АТОМНОГО СОСТАВА ДИСПЕРСНЫХ ПОРОШКОВЫХ МАТЕРИАЛОВ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/745/384/%D0%98%D0%97-02745384-00001/document.pdf,24.03.2021 БИПМ №9,"Шаляпин В.Н., Тютюнников С.И., Артюх В.А.",Лаборатория информационных технологий им. М.Г. Мещерякова
40.0,2741838(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2741838&TypeFile=html,19.08.2020,СПОСОБ ОПРЕДЕЛЕНИЯ НАЛИЧИЯ ГЕНЕТИЧЕСКОЙ ПРЕДРАСПОЛОЖЕННОСТИ К ДОЛГОЛЕТИЮ ЧЕЛОВЕКА,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/741/838/%D0%98%D0%97-02741838-00001/document.pdf,29.01.2021 БИПМ №4,"Кравченко Е.В., Иванова А.Е.",Лаборатория ядерных проблем им. В.П. Джелепова
41.0,2740489(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2740489&TypeFile=html,29.06.2020,ЛАЗЕРНЫЙ ИНКЛИНОМЕТР ДЛЯ ДЛИТЕЛЬНОЙ РЕГИСТРАЦИИ УГЛОВЫХ НАКЛОНОВ ЗЕМНОЙ ПОВЕРХНОСТИ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/740/489/%D0%98%D0%97-02740489-00001/document.pdf,14.01.2021 БИПМ №2,"Будагов Ю.А., Ляблин М.В.",Лаборатория ядерных проблем им. В.П. Джелепова
42.0,2734903(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2734903&TypeFile=html,24.03.2020,УСТРОЙСТВО ДЛЯ РЕЗОНАНСНОГО ЗАРЯДА КОНДЕНСАТОРА,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/734/903/%D0%98%D0%97-02734903-00001/document.pdf,26.10.2020 БИПМ №30,"Доля С.Н., Смирнов В.И.",Лаборатория ядерных проблем им. В.П. Джелепова
43.0,2734451(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2734451&TypeFile=html,11.02.2020,УСТРОЙСТВО ДЛЯ ИЗМЕРЕНИЯ УГЛОВ НАКЛОНА ПОВЕРХНОСТИ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/734/451/%D0%98%D0%97-02734451-00001/document.pdf,16.10.2020 БИПМ №29,"Будагов Ю.А., Ляблин М.В.",Лаборатория ядерных проблем им. В.П. Джелепова
44.0,2730045(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2730045&TypeFile=html,11.09.2018,ГИБРИДНЫЙ ПИКСЕЛЬНЫЙ ДЕТЕКТОР ИОНИЗИРУЮЩИХ ИЗЛУЧЕНИЙ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/730/045/%D0%98%D0%97-02730045-00001/document.pdf,14.08.2020 БИПМ №23,"Кожевников Д.А., Шелков Г.А., Смолянский П.И.",Лаборатория ядерных проблем им. В.П. Джелепова
45.0,2729880(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2729880&TypeFile=html,05.11.2019,"ТВЕРДОТЕЛЬНЫЙ КОНДЕНСАТОР-ИОНИСТОР С ДИЭЛЕКТРИЧЕСКИМ СЛОЕМ, ВЫПОЛНЕННИМ ИЗ НАНОПОРОШКА ДИЭЛЕКТРИКА",http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/729/880/%D0%98%D0%97-02729880-00001/document.pdf,13.08.2020 БИПМ №23,"Дорошкевич А.С., Шило А.В., Зеленяк Т.Ю., Константинова Т.Е., Любчик А.И., Татаринова А.А., Гридина Е.А., Дорошкевич Н.В.",Лаборатория ядерных проблем им. В.П. Джелепова
46.0,2723390(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2723390&TypeFile=html,04.07.2019,"СПОСОБ ПРОГНОЗИРОВАНИЯ РИСКА РАЗВИТИЯ ЗАБОЛЕВАНИЙ, СВЯЗАННЫХ С УРОВНЕМ ИММУНОГЛОБУЛИНА E(IgE) В СЫВОРОТКЕ КРОВИ ЧЕЛОВЕКА",http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/723/390/%D0%98%D0%97-02723390-00001/document.pdf,11.06.2020 БИПМ №17,"Иванова А.Е., Русакович А.Н., Кравченко Е.В.",Лаборатория ядерных проблем им. В.П. Джелепова
